Date,Food Calories
05/18/2015,738.0
05/17/2015,2507.75
05/16/2015,2706.3
05/15/2015,2215.33
05/14/2015,2258.01
05/13/2015,1797.37
05/12/2015,2836.41
05/11/2015,2185.49
05/10/2015,1843.29
05/09/2015,1794.86
05/08/2015,2332.64
05/07/2015,1933.06
05/06/2015,2451.03
05/05/2015,2163.01
05/04/2015,2822.75
05/03/2015,2000.0
05/02/2015,2000.0
05/01/2015,1866.67
04/30/2015,1900.0
04/29/2015,2415.81
04/28/2015,2433.64
04/27/2015,2484.47
04/26/2015,2494.57
04/25/2015,2067.11
04/24/2015,1875.54
04/23/2015,2380.88
04/22/2015,2375.63
04/21/2015,2052.06
04/20/2015,2627.5
04/19/2015,2147.63
04/18/2015,2067.53
04/17/2015,1899.54
04/16/2015,1755.05
04/15/2015,1744.49
04/14/2015,2311.52
04/13/2015,1683.81
04/12/2015,2002.49
04/11/2015,1778.07
04/10/2015,1600.0
04/09/2015,1600.0
04/08/2015,1600.0
04/07/2015,1600.0
04/06/2015,1600.0
04/05/2015,2675.0
04/04/2015,1839.48
04/03/2015,1197.51
04/02/2015,797.383
04/01/2015,1766.75
03/31/2015,2382.03
03/30/2015,1954.09
03/29/2015,1777.37
03/28/2015,2666.42
03/27/2015,1975.18
03/26/2015,2086.86
03/25/2015,2053.21
03/24/2015,2161.83
03/23/2015,1822.36
03/22/2015,2728.16
03/21/2015,2016.21

